标题,户型,面积,楼层,建造年份,单价,总价,关键字,地址,详情页地址
保真新城璟悦城 对口英才（学位未用）地铁口简装3房 拎包入住,3室2厅,88m²,中层(共32层),2019年建造,15909元/m²,140万,南北通透环境优美,新城璟悦城  汉阳-四新-四新中路,https://wuhan.anjuke.com/prop/view/A1862823225?from=filter&spread=commsearch_p&uniqid=pc5da429f2c7cc76.28157798&position=364&kwtype=filter&now_time=1571039730
宝业光谷丽都 毛坯2房 随意装修 有钥匙,2室2厅,88m²,中层(共32层),2014年建造,16791元/m²,148万,南北通透环境优美,宝业光谷丽都  洪山-光谷软件园-龙城路,https://wuhan.anjuke.com/prop/view/A1785515763?from=filter&spread=commsearch_p&uniqid=pc5da429f2c7ccf9.45913030&position=365&kwtype=filter&now_time=1571039730
必看好房 光谷东绿地国际理想城单价1万3急卖 隔壁新盘1万8,4室2厅,133m²,中层(共33层),2017年建造,13847元/m²,185万,近地铁配套成熟品质小区,绿地国际理想城  洪山-光谷东-光谷四路,https://wuhan.anjuke.com/prop/view/A1818880923?from=filter&spread=commsearch_p&uniqid=pc5da429f2c7cd74.35176144&position=366&kwtype=filter&now_time=1571039730
武胜路家乐福旁 万信摩登精装三房 仅售115万 不限购,2室1厅,77m²,高层(共20层),2000年建造,14935元/m²,115万,近地铁近学校配套成熟,万信摩登会馆  硚口-武胜路-中山大道264-282号,https://wuhan.anjuke.com/prop/view/A1845078429?from=filter-saleMetro-salesxq&spread=commsearch_p&uniqid=pc5da429f2c7cdf9.90305008&position=367&kwtype=filter&now_time=1571039730
青山三环边 精装住宅 地铁旁 随时看房 双湖景房 无茶水费,3室2厅,92m²,高层(共33层),2017年建造,10815元/m²,99.5万,新房房源近地铁配套成熟,海伦国际  青山-青山周边-武东中路,https://wuhan.anjuke.com/prop/view/A1856111979?from=filter&spread=commsearch_p&uniqid=pc5da429f2c7ce74.67804256&position=368&kwtype=filter&now_time=1571039730
王家湾中央生活区中国铁建国际城 王家湾摩尔城旁 精装老证三房,3室2厅,93m²,高层(共32层),2013年建造,17742元/m²,165万,近地铁,中国铁建国际城  汉阳-王家湾-龙阳湖北路,https://wuhan.anjuke.com/prop/view/A1835311449?from=filter-saleMetro&spread=commsearch_p&uniqid=pc5da429f2c7cef1.85469600&position=369&kwtype=filter&now_time=1571039730
武泰闸 5号线地铁口 财税学院旁边 简装2房 首付30以内万,2室2厅,73m²,中层(共7层),2013年建造,13699元/m²,100万,南北通透环境优美,武泰闸城市花园小区  武昌-武泰闸-白沙洲大道505号,https://wuhan.anjuke.com/prop/view/A1790492997?from=filter&spread=commsearch_p&uniqid=pc5da429f2c7cf60.47709484&position=370&kwtype=filter&now_time=1571039730
底价出售  佳兆业金域天下 精装  送家具家电,3室2厅,89m²,高层(共34层),2016年建造,16629元/m²,148万,拎包入住,佳兆业金域天下  洪山-白沙洲-烽胜路36号,https://wuhan.anjuke.com/prop/view/A1858201761?from=filter&spread=commsearch_p&uniqid=pc5da429f2c7cfe1.86578023&position=371&kwtype=filter&now_time=1571039730
加州毛坯大三房，单价1.5万，产证满两年，不临三环，中高层！,3室2厅,120m²,低层(共17层),2013年建造,15833元/m²,190万,南北通透双阳台品质小区,加州香山美树  洪山-光谷软件园-茅店山路特1号,https://wuhan.anjuke.com/prop/view/A1864439805?from=filter&spread=commsearch_p&uniqid=pc5da429f2c7d056.56677657&position=372&kwtype=filter&now_time=1571039730
徐东 95平精装修 175万甩 地铁口 金地自在城 全南三房,3室2厅,95m²,低层(共34层),2016年建造,18402元/m²,175万,,金地自在城(西区)  洪山-欢乐谷-团结大道,https://wuhan.anjuke.com/prop/view/A1869245841?from=filter&spread=commsearch_p&uniqid=pc5da429f2c7d0d8.11110275&position=373&kwtype=filter&now_time=1571039730
领秀城2房中间楼层南北通透老证首付24万电梯房房东诚意出售,2室2厅,92m²,中层(共18层),2014年建造,10652元/m²,98万,近地铁配套成熟品质小区,珩生领袖城  黄陂-盘龙城-盘龙大道,https://wuhan.anjuke.com/prop/view/A1852433787?from=filter&spread=commsearch_p&uniqid=pc5da429f2c7d148.80786774&position=374&kwtype=filter&now_time=1571039730
劲爆房源 万科精装2房 价格115万先到先得，看房有钥匙,2室2厅,85m²,中层(共32层),2013年建造,20000元/m²,170万,近地铁,万科金域蓝湾  蔡甸-江汉大学-三角湖路8号,https://wuhan.anjuke.com/prop/view/A1855931205?from=filter-saleMetro&spread=commsearch_p&uniqid=pc5da429f2c7d1b7.57176665&position=375&kwtype=filter&now_time=1571039730
文化大道 联投龙湾清水毛坯两房 户型好采光好 有钥匙房东急售,2室2厅,91m²,中层(共32层),2016年建造,11868元/m²,108万,环境优美品质小区低密度,联投龙湾(三期)  江夏-文化大道-武昌大道,https://wuhan.anjuke.com/prop/view/A1760905335?from=filter&spread=commsearch_p&uniqid=pc5da429f2c7d239.90286407&position=376&kwtype=filter&now_time=1571039730
边户南北通透 新城璟悦城 精装三房，中高层 对口英才中学,3室2厅,88m²,中层(共34层),2017年建造,16250元/m²,143万,交通便利繁华地段品质小区,新城璟悦城  汉阳-四新-四新中路,https://wuhan.anjuke.com/prop/view/A1820282421?from=filter&spread=commsearch_p&uniqid=pc5da429f2c7d2a4.21505846&position=377&kwtype=filter&now_time=1571039730
富贵）送车位！山湖景观依山伴水三面环湖靠山 双轨交汇配套齐全,3室2厅,124m²,中层(共34层),2016年建造,10500元/m²,130.2万,新房房源配套成熟环境优美,山海观  黄陂-盘龙城-机场高速,https://wuhan.anjuke.com/prop/view/A1855901667?from=filter&spread=commsearch_p&uniqid=pc5da429f2c7d313.16311305&position=378&kwtype=filter&now_time=1571039730
地铁口  急售汉口北创客公馆 33万包证,1室1厅,43m²,中层(共28层),2016年建造,7674元/m²,33万,近地铁配套成熟品质小区,汉口北创客公馆  黄陂-汉口北-汉口北大道74号,https://wuhan.anjuke.com/prop/view/A1826340105?from=filter&spread=commsearch_p&uniqid=pc5da429f2c7d388.83555268&position=379&kwtype=filter&now_time=1571039730
"武汉绿地城,地铁口,一手新房,精装三房,有团购优惠",3室2厅,95m²,低层(共34层),2018年建造,9158元/m²,87万,新房房源近地铁配套成熟,武汉绿地城  汉南-汉南城区-马影河大道,https://wuhan.anjuke.com/prop/view/A1854511077?from=filter&spread=commsearch_p&uniqid=pc5da429f2c7d3f3.87326482&position=380&kwtype=filter&now_time=1571039730
万科城，零公摊3房2卫，南北通透，证满两年，紧邻长港路地铁,3室2厅,83m²,低层(共27层),2012年建造,24096元/m²,200万,近地铁南北通透卫浴全明,万科城  江汉-常青-常青路167号,https://wuhan.anjuke.com/prop/view/A1861725423?from=filter-saleMetro&spread=commsearch_p&uniqid=pc5da429f2c7d462.85738077&position=381&kwtype=filter&now_time=1571039730
（送权属车位 次新小区）一线江景房 名流世家,3室2厅,101m²,高层(共32层),2017年建造,21844元/m²,221万,近地铁配套成熟品质小区,名流世家  江岸-百步亭-百步亭路,https://wuhan.anjuke.com/prop/view/A1837072011?from=filter&spread=commsearch_p&uniqid=pc5da429f2c7d4d8.09373204&position=382&kwtype=filter&now_time=1571039730
劲爆来袭 汉阳神盘 免茶水   低公摊 保利大品牌 精装交付,4室2厅,136m²,低层(共28层),2017年建造,17574元/m²,239万,新房房源配套成熟繁华地段,保利庭瑞阅江台  汉阳-郭茨口-琴台大道,https://wuhan.anjuke.com/prop/view/A1863658047?from=filter&spread=commsearch_p&uniqid=pc5da429f2c7d548.50525098&position=383&kwtype=filter&now_time=1571039730
地铁口 华发未来荟 精装两房 首付38万税费7.6万小区中间,2室2厅,76m²,高层(共35层),2018年建造,17105元/m²,130万,南北通透环境优美交通便利,华发未来荟  汉阳-四新-江城大道,https://wuhan.anjuke.com/prop/view/A1786347039?from=filter&spread=commsearch_p&uniqid=pc5da429f2c7d5b0.06818727&position=384&kwtype=filter&now_time=1571039730
恒大名都，全新精装3房，超好楼层，房东换房急售，随时看房,3室2厅,110m²,高层(共32层),2012年建造,10909元/m²,120万,,恒大名都  黄陂-盘龙城-巨龙大道33号,https://wuhan.anjuke.com/prop/view/A1843535001?from=filter&spread=commsearch_p&uniqid=pc5da429f2c7d621.81846898&position=385&kwtype=filter&now_time=1571039730
开发商直售，新二环，一线湖景，学 区房， 近地铁，速来电来电,4室2厅,137m²,中层(共23层),2017年建造,17007元/m²,233万,新房房源景观房近地铁,"弘阳印月府  汉阳-建港-墨水湖南路,近江堤中路",https://wuhan.anjuke.com/prop/view/A1865425737?from=filter&spread=commsearch_p&uniqid=pc5da429f2c7d697.57754763&position=386&kwtype=filter&now_time=1571039730
碧桂园生态城依云 花山大道花城大道交界 临地铁口 诚心出售,3室2厅,118m²,低层(共24层),2015年建造,13390元/m²,158万,品质小区,碧桂园生态城依云  洪山-光谷东-花城大道,https://wuhan.anjuke.com/prop/view/A1866308259?from=filter&spread=commsearch_p&uniqid=pc5da429f2c7d701.19117431&position=387&kwtype=filter&now_time=1571039730
武昌内环徐东双地铁口天幕奢宅融侨天域毛坯大三房赠中央空调地暖,3室2厅,130m²,低层(共43层),2017年建造,25000元/m²,325万,新房房源近地铁繁华地段,融侨天域  武昌-徐东-和平大道1102号,https://wuhan.anjuke.com/prop/view/A1784084457?from=filter&spread=commsearch_p&uniqid=pc5da429f2c7d776.54246841&position=388&kwtype=filter&now_time=1571039730
总价低  首付少  百步亭景兰苑  电梯房  公摊低  秒杀,2室2厅,77m²,中层(共11层),2012年建造,14584元/m²,113万,近地铁,景兰苑  江岸-百步亭-安居路286号,https://wuhan.anjuke.com/prop/view/A1869151143?from=filter-saleMetro&spread=commsearch_p&uniqid=pc5da429f2c7d7e5.39820930&position=389&kwtype=filter&now_time=1571039730
（小高层）满庭春紧凑三房  公摊低产权清晰 仅售120万,3室2厅,81m²,低层(共11层),2015年建造,14648元/m²,120万,近地铁繁华地段品质小区,光谷满庭春MOMΛ  洪山-光谷东-高新二路,https://wuhan.anjuke.com/prop/view/A1831484973?from=filter&spread=commsearch_p&uniqid=pc5da429f2c7d858.99780629&position=390&kwtype=filter&now_time=1571039730
武昌余家头 5号线地铁口 南北通透毛坯 三房,3室2厅,130m²,中层(共32层),2018年建造,26154元/m²,340万,新房房源南北通透繁华地段,融侨天域  武昌-徐东-和平大道1102号,https://wuhan.anjuke.com/prop/view/A1860722643?from=filter&spread=commsearch_p&uniqid=pc5da429f2c7d8c7.55370675&position=391&kwtype=filter&now_time=1571039730
新挂牌~中央花园城一线湖景大两房证满 无敌视野采光超棒,2室2厅,81m²,中层(共11层),2015年建造,7654元/m²,62万,近地铁配套成熟,阳光新港中央花园城  新洲-阳逻开发区-余泊南路,https://wuhan.anjuke.com/prop/view/A1817148279?from=filter&spread=commsearch_p&uniqid=pc5da429f2c7d944.76037582&position=392&kwtype=filter&now_time=1571039730
抢抢抢低于市价保利清能阳光100湖景房视野开阔带家电户型方正,2室2厅,85m²,高层(共28层),2017年建造,13089元/m²,112万,配套成熟素质住户品质小区,阳光100大湖第  江夏-藏龙岛-杨桥湖大道2号,https://wuhan.anjuke.com/prop/view/A1841449701?from=filter&spread=commsearch_p&uniqid=pc5da429f2c7d9b2.24822398&position=393&kwtype=filter&now_time=1571039730
花山生态城，万科紫悦湾精装两房，有车位，拎包即可入住,2室2厅,80m²,高层(共24层),2017年建造,14883元/m²,120万,南北通透环境优美,万科紫悦湾  洪山-光谷东-花城大道,https://wuhan.anjuke.com/prop/view/A1828024563?from=filter&spread=commsearch_p&uniqid=pc5da429f2c7da28.24206246&position=394&kwtype=filter&now_time=1571039730
金色华府 对口二小 园林小区 通透三房 老证诚售 有钥匙,3室2厅,103m²,高层(共31层),2007年建造,36676元/m²,380万,近地铁近学校配套成熟,金色华府  江岸-竹叶山花桥-解放公园路83号,https://wuhan.anjuke.com/prop/view/A1851743397?from=filter-saleMetro-salesxq&spread=commsearch_p&uniqid=pc5da429f2c7da99.34351400&position=395&kwtype=filter&now_time=1571039730
四新地铁旁 国博新城 两室两厅 环境优雅交通便利 随时看房,2室2厅,90m²,中层(共33层),2016年建造,15889元/m²,143万,,武汉国博新城  汉阳-四新-四新南路,https://wuhan.anjuke.com/prop/view/A1863626961?from=filter&spread=commsearch_p&uniqid=pc5da429f2c7db04.51839300&position=396&kwtype=filter&now_time=1571039730
中城悦城 超大三房 有钥匙看房便利 有暖气 欢迎随时咨询看房,3室2厅,103m²,中层(共49层),2017年建造,20388元/m²,210万,环境优美安全性高品质小区,中城悦城(二期)  江汉-王家墩CBD-振兴三路,https://wuhan.anjuke.com/prop/view/A1832273301?from=filter&spread=commsearch_p&uniqid=pc5da429f2c7db76.86024682&position=397&kwtype=filter&now_time=1571039730
东方夏威夷141平138 中间楼层 老证 有钥匙随时可以看房,3室2厅,141m²,高层(共10层),1996年建造,9787元/m²,138万,近学校配套成熟环境优美,东方夏威夷国际花园  蔡甸-天鹅湖大道-博艺路,https://wuhan.anjuke.com/prop/view/A1856857197?from=filter-salesxq&spread=commsearch_p&uniqid=pc5da429f2c7dbf4.19689745&position=398&kwtype=filter&now_time=1571039730
（两天必卖）城开 单价1.38万，全新装修，送30平大露台！,3室2厅,89m²,低层(共11层),2010年建造,13912元/m²,125万,南北通透环境优美,城开青菱城市花园1期  洪山-白沙洲-白沙五路,https://wuhan.anjuke.com/prop/view/A1797198357?from=filter&spread=commsearch_p&uniqid=pc5da429f2c7dc66.16828583&position=399&kwtype=filter&now_time=1571039730
地铁口 保利香颂实用3房2卫 有钥匙 随时看房 诚意出售！！,3室2厅,109m²,共1层,2018年建造,16774元/m²,183万,配套成熟繁华地段品质小区,保利香颂  汉阳-升官渡-四新大道,https://wuhan.anjuke.com/prop/view/A1856510805?from=filter&spread=commsearch_p&uniqid=pc5da429f2c7dcd0.25459551&position=400&kwtype=filter&now_time=1571039730
锦绣江南 舒适精装两房 通透户型 前无遮挡 阳光入室清风徐来,2室2厅,91m²,中层(共11层),2010年建造,27473元/m²,250万,近地铁配套成熟交通便利,统建锦绣江南二四期  武昌-中北路-中北路126号,https://wuhan.anjuke.com/prop/view/A1857731151?from=filter&spread=commsearch_p&uniqid=pc5da429f2c7dd45.77269987&position=401&kwtype=filter&now_time=1571039730
新货捡漏！115平中层边户精装修一口价188W 拎包入住,3室2厅,104m²,低层(共26层),2015年建造,18060元/m²,188万,,阳光100大湖第  江夏-藏龙岛-杨桥湖大道2号,https://wuhan.anjuke.com/prop/view/A1850334807?from=filter&spread=commsearch_p&uniqid=pc5da429f2c7ddb0.31630660&position=402&kwtype=filter&now_time=1571039730
临嶂大道 地铁口 精装三房 总价62万 不还价,3室2厅,76m²,高层(共7层),2008年建造,8158元/m²,62万,,永安大楼  蔡甸-蔡甸城区-临嶂大道136号,https://wuhan.anjuke.com/prop/view/A1868306259?from=filter&spread=commsearch_p&uniqid=pc5da429f2c7de36.27451218&position=403&kwtype=filter&now_time=1571039730
临地铁口  老证  老证  楼层好 一线湖景电梯房 大三房,3室2厅,110m²,高层(共29层),2012年建造,9091元/m²,100万,近地铁安全性高品质小区,凯德知音的湖  蔡甸-恒大绿洲-知音湖大道300号,https://wuhan.anjuke.com/prop/view/A1869321441?from=filter&spread=commsearch_p&uniqid=pc5da429f2c7dea7.90644749&position=404&kwtype=filter&now_time=1571039730
世纪江尚 8栋朝南 无遮挡看江 蝴蝶户型 有钥匙 老证低税,4室2厅,200m²,中层(共57层),2016年建造,37924元/m²,760万,,世纪江尚  江汉-前进/江汉-花楼街122号,https://wuhan.anjuke.com/prop/view/A1869500901?from=filter&spread=commsearch_p&uniqid=pc5da429f2c7df10.01663637&position=405&kwtype=filter&now_time=1571039730
